,Manufacturing_Value,Month_year
687,36.8,04-1970
688,36.8,05-1970
689,36.9,06-1970
690,37.1,07-1970
691,36.9,08-1970
692,37.1,09-1970
693,37.1,10-1970
694,37.1,11-1970
695,37.1,12-1970
696,37.3,01-1971
697,37.7,02-1971
698,37.8,03-1971
699,37.9,04-1971
700,38.1,05-1971
701,38.2,06-1971
702,38.3,07-1971
703,38.5,08-1971
704,38.3,09-1971
705,38.3,10-1971
706,38.3,11-1971
707,38.6,12-1971
708,38.8,01-1972
709,39.2,02-1972
710,39.2,03-1972
711,39.3,04-1972
712,39.5,05-1972
713,39.7,06-1972
714,40.0,07-1972
715,40.1,08-1972
716,40.2,09-1972
717,40.1,10-1972
718,40.3,11-1972
719,41.1,12-1972
720,41.6,01-1973
721,42.4,02-1973
722,43.4,03-1973
723,43.6,04-1973
724,44.5,05-1973
725,45.5,06-1973
726,44.9,07-1973
727,47.5,08-1973
728,46.7,09-1973
729,46.3,10-1973
730,46.5,11-1973
731,47.4,12-1973
732,49.0,01-1974
733,50.0,02-1974
734,50.6,03-1974
735,51.0,04-1974
736,51.8,05-1974
737,52.0,06-1974
738,54.0,07-1974
739,55.9,08-1974
740,55.9,09-1974
741,56.9,10-1974
742,57.4,11-1974
743,57.3,12-1974
744,57.4,01-1975
745,57.2,02-1975
746,56.9,03-1975
747,57.5,04-1975
748,57.9,05-1975
749,58.0,06-1975
750,58.7,07-1975
751,59.0,08-1975
752,59.4,09-1975
753,59.8,10-1975
754,59.5,11-1975
755,59.7,12-1975
756,59.9,01-1976
757,59.9,02-1976
758,60.0,03-1976
759,60.6,04-1976
760,60.8,05-1976
761,61.2,06-1976
762,61.6,07-1976
763,61.4,08-1976
764,61.8,09-1976
765,61.9,10-1976
766,62.0,11-1976
767,62.5,12-1976
768,62.8,01-1977
769,63.5,02-1977
770,64.1,03-1977
771,64.9,04-1977
772,65.2,05-1977
773,65.0,06-1977
774,65.1,07-1977
775,65.0,08-1977
776,65.3,09-1977
777,65.6,10-1977
778,65.8,11-1977
779,66.2,12-1977
780,66.8,01-1978
781,67.5,02-1978
782,68.1,03-1978
783,69.0,04-1978
784,69.5,05-1978
785,70.0,06-1978
786,70.4,07-1978
787,70.4,08-1978
788,71.0,09-1978
789,71.8,10-1978
790,72.1,11-1978
791,72.7,12-1978
792,73.8,01-1979
793,74.9,02-1979
794,75.8,03-1979
795,76.9,04-1979
796,77.5,05-1979
797,78.0,06-1979
798,79.2,07-1979
799,79.6,08-1979
800,80.9,09-1979
801,82.1,10-1979
802,82.6,11-1979
803,83.4,12-1979
804,85.2,01-1980
805,86.9,02-1980
806,87.5,03-1980
807,87.8,04-1980
808,88.3,05-1980
809,88.7,06-1980
810,90.3,07-1980
811,91.5,08-1980
812,91.7,09-1980
813,92.8,10-1980
814,93.2,11-1980
815,93.8,12-1980
816,95.2,01-1981
817,96.1,02-1981
818,97.0,03-1981
819,98.0,04-1981
820,98.3,05-1981
821,98.5,06-1981
822,99.0,07-1981
823,99.0,08-1981
824,98.8,09-1981
825,98.9,10-1981
826,98.8,11-1981
827,98.8,12-1981
828,99.7,01-1982
829,99.8,02-1982
830,99.6,03-1982
831,99.6,04-1982
832,99.8,05-1982
833,100.0,06-1982
834,100.4,07-1982
835,100.3,08-1982
836,100.0,09-1982
837,100.2,10-1982
838,100.3,11-1982
839,100.5,12-1982
840,100.2,01-1983
841,100.5,02-1983
842,100.4,03-1983
843,100.4,04-1983
844,100.8,05-1983
845,101.0,06-1983
846,101.3,07-1983
847,101.8,08-1983
848,102.0,09-1983
849,102.2,10-1983
850,102.1,11-1983
851,102.3,12-1983
852,102.9,01-1984
853,103.2,02-1984
854,103.9,03-1984
855,104.0,04-1984
856,104.1,05-1984
857,104.0,06-1984
858,104.2,07-1984
859,103.8,08-1984
860,103.4,09-1984
861,103.4,10-1984
862,103.7,11-1984
863,103.5,12-1984
864,103.4,01-1985
865,103.3,02-1985
866,103.1,03-1985
867,103.3,04-1985
868,103.5,05-1985
869,103.3,06-1985
870,103.2,07-1985
871,102.7,08-1985
872,102.1,09-1985
873,102.9,10-1985
874,103.4,11-1985
875,103.6,12-1985
876,103.2,01-1986
877,101.7,02-1986
878,100.3,03-1986
879,99.6,04-1986
880,100.0,05-1986
881,99.9,06-1986
882,99.4,07-1986
883,99.3,08-1986
884,99.4,09-1986
885,99.7,10-1986
886,99.8,11-1986
887,99.7,12-1986
888,100.5,01-1987
889,101.0,02-1987
890,101.2,03-1987
891,101.9,04-1987
892,102.6,05-1987
893,103.0,06-1987
894,103.5,07-1987
895,103.8,08-1987
896,103.7,09-1987
897,104.1,10-1987
898,104.2,11-1987
899,104.2,12-1987
900,104.6,01-1988
901,104.8,02-1988
902,104.9,03-1988
903,105.8,04-1988
904,106.5,05-1988
905,107.2,06-1988
906,107.9,07-1988
907,108.0,08-1988
908,108.1,09-1988
909,108.2,10-1988
910,108.3,11-1988
911,109.0,12-1988
912,110.5,01-1989
913,110.8,02-1989
914,111.5,03-1989
915,112.3,04-1989
916,113.2,05-1989
917,112.9,06-1989
918,112.8,07-1989
919,112.0,08-1989
920,112.4,09-1989
921,112.8,10-1989
922,112.7,11-1989
923,113.0,12-1989
924,114.9,01-1990
925,114.4,02-1990
926,114.2,03-1990
927,114.1,04-1990
928,114.6,05-1990
929,114.3,06-1990
930,114.5,07-1990
931,116.5,08-1990
932,118.4,09-1990
933,120.8,10-1990
934,120.1,11-1990
935,118.7,12-1990
936,119.0,01-1991
937,117.2,02-1991
938,116.2,03-1991
939,116.0,04-1991
940,116.5,05-1991
941,116.4,06-1991
942,116.1,07-1991
943,116.2,08-1991
944,116.1,09-1991
945,116.4,10-1991
946,116.4,11-1991
947,115.9,12-1991
948,115.6,01-1992
949,116.0,02-1992
950,116.1,03-1992
951,116.3,04-1992
952,117.2,05-1992
953,118.0,06-1992
954,117.9,07-1992
955,117.7,08-1992
956,118.0,09-1992
957,118.1,10-1992
958,117.8,11-1992
959,117.6,12-1992
960,118.0,01-1993
961,118.4,02-1993
962,118.7,03-1993
963,119.3,04-1993
964,119.7,05-1993
965,119.5,06-1993
966,119.2,07-1993
967,118.7,08-1993
968,118.7,09-1993
969,119.1,10-1993
970,119.0,11-1993
971,118.6,12-1993
972,119.1,01-1994
973,119.3,02-1994
974,119.7,03-1994
975,119.7,04-1994
976,119.9,05-1994
977,120.5,06-1994
978,120.7,07-1994
979,121.2,08-1994
980,121.0,09-1994
981,120.9,10-1994
982,121.5,11-1994
983,121.9,12-1994
984,122.9,01-1995
985,123.5,02-1995
986,123.9,03-1995
987,124.6,04-1995
988,124.9,05-1995
989,125.3,06-1995
990,125.3,07-1995
991,125.1,08-1995
992,125.2,09-1995
993,125.3,10-1995
994,125.4,11-1995
995,125.7,12-1995
996,126.3,01-1996
997,126.2,02-1996
998,126.4,03-1996
999,127.4,04-1996
1000,128.1,05-1996
1001,128.0,06-1996
1002,128.0,07-1996
1003,128.3,08-1996
1004,128.2,09-1996
1005,128.0,10-1996
1006,128.2,11-1996
1007,129.1,12-1996
1008,129.7,01-1997
1009,128.5,02-1997
1010,127.3,03-1997
1011,127.0,04-1997
1012,127.4,05-1997
1013,127.2,06-1997
1014,126.9,07-1997
1015,127.2,08-1997
1016,127.5,09-1997
1017,127.8,10-1997
1018,127.9,11-1997
1019,126.8,12-1997
1020,125.4,01-1998
1021,125.0,02-1998
1022,124.7,03-1998
1023,124.9,04-1998
1024,125.1,05-1998
1025,124.8,06-1998
1026,124.9,07-1998
1027,124.2,08-1998
1028,123.8,09-1998
1029,124.0,10-1998
1030,123.6,11-1998
1031,122.8,12-1998
1032,122.9,01-1999
1033,122.3,02-1999
1034,122.6,03-1999
1035,123.6,04-1999
1036,124.7,05-1999
1037,125.2,06-1999
1038,125.7,07-1999
1039,126.9,08-1999
1040,128.0,09-1999
1041,127.7,10-1999
1042,128.3,11-1999
1043,127.8,12-1999
1044,128.3,01-2000
1045,129.8,02-2000
1046,130.8,03-2000
1047,130.7,04-2000
1048,131.6,05-2000
1049,133.8,06-2000
1050,133.7,07-2000
1051,132.9,08-2000
1052,134.7,09-2000
1053,135.4,10-2000
1054,135.0,11-2000
1055,136.2,12-2000
1056,140.0,01-2001
1057,137.4,02-2001
1058,135.9,03-2001
1059,136.4,04-2001
1060,136.8,05-2001
1061,135.5,06-2001
1062,133.4,07-2001
1063,133.4,08-2001
1064,133.3,09-2001
1065,130.3,10-2001
1066,129.8,11-2001
1067,128.1,12-2001
1068,128.5,01-2002
1069,128.4,02-2002
1070,129.8,03-2002
1071,130.8,04-2002
1072,130.8,05-2002
1073,130.9,06-2002
1074,131.2,07-2002
1075,131.5,08-2002
1076,132.3,09-2002
1077,133.2,10-2002
1078,133.1,11-2002
1079,132.9,12-2002
1080,135.3,01-2003
1081,137.6,02-2003
1082,141.2,03-2003
1083,136.8,04-2003
1084,136.7,05-2003
1085,138.0,06-2003
1086,137.7,07-2003
1087,138.0,08-2003
1088,138.5,09-2003
1089,139.3,10-2003
1090,138.9,11-2003
1091,139.5,12-2003
1092,141.4,01-2004
1093,142.1,02-2004
1094,143.1,03-2004
1095,144.8,04-2004
1096,146.8,05-2004
1097,147.2,06-2004
1098,147.4,07-2004
1099,148.0,08-2004
1100,147.7,09-2004
1101,150.0,10-2004
1102,151.4,11-2004
1103,150.2,12-2004
1104,150.9,01-2005
1105,151.6,02-2005
1106,153.7,03-2005
1107,155.0,04-2005
1108,154.3,05-2005
1109,154.3,06-2005
1110,156.3,07-2005
1111,157.6,08-2005
1112,162.2,09-2005
1113,166.2,10-2005
1114,163.7,11-2005
1115,163.0,12-2005
1116,164.3,01-2006
1117,161.8,02-2006
1118,162.2,03-2006
1119,164.3,04-2006
1120,165.8,05-2006
1121,166.1,06-2006
1122,166.8,07-2006
1123,167.9,08-2006
1124,165.4,09-2006
1125,162.2,10-2006
1126,164.6,11-2006
1127,165.6,12-2006
1128,164.0,01-2007
1129,166.8,02-2007
1130,169.3,03-2007
1131,171.4,04-2007
1132,173.3,05-2007
1133,173.8,06-2007
1134,175.1,07-2007
1135,172.4,08-2007
1136,173.5,09-2007
1137,174.7,10-2007
1138,179.0,11-2007
1139,178.6,12-2007
1140,181.0,01-2008
1141,182.7,02-2008
1142,187.9,03-2008
1143,190.9,04-2008
1144,196.6,05-2008
1145,200.5,06-2008
1146,205.5,07-2008
1147,199.0,08-2008
1148,196.9,09-2008
1149,186.4,10-2008
1150,176.8,11-2008
1151,170.9,12-2008
1152,171.2,01-2009
1153,169.3,02-2009
1154,168.1,03-2009
1155,169.1,04-2009
1156,170.8,05-2009
1157,174.1,06-2009
1158,172.5,07-2009
1159,175.0,08-2009
1160,174.1,09-2009
1161,175.2,10-2009
1162,177.4,11-2009
1163,178.1,12-2009
1164,181.9,01-2010
1165,181.0,02-2010
1166,183.3,03-2010
1167,184.4,04-2010
1168,184.8,05-2010
1169,183.5,06-2010
1170,184.1,07-2010
1171,184.9,08-2010
1172,184.9,09-2010
1173,186.6,10-2010
1174,187.7,11-2010
1175,189.7,12-2010
1176,192.7,01-2011
1177,195.8,02-2011
1178,199.2,03-2011
1179,203.1,04-2011
1180,204.1,05-2011
1181,203.9,06-2011
1182,204.6,07-2011
1183,203.2,08-2011
1184,203.7,09-2011
1185,201.1,10-2011
1186,201.4,11-2011
1187,199.8,12-2011
1188,200.7,01-2012
1189,201.6,02-2012
1190,204.2,03-2012
1191,203.7,04-2012
1192,201.9,05-2012
1193,199.8,06-2012
1194,200.1,07-2012
1195,202.7,08-2012
1196,204.4,09-2012
1197,203.5,10-2012
1198,201.8,11-2012
1199,201.5,12-2012
1200,202.5,01-2013
1201,204.3,02-2013
1202,204.0,03-2013
1203,203.5,04-2013
1204,204.1,05-2013
1205,204.3,06-2013
1206,204.4,07-2013
1207,204.2,08-2013
1208,203.9,09-2013
1209,202.5,10-2013
1210,201.2,11-2013
1211,202.0,12-2013
1212,203.8,01-2014
1213,205.7,02-2014
1214,207.0,03-2014
1215,208.3,04-2014
1216,208.0,05-2014
1217,208.3,06-2014
1218,208.0,07-2014
1219,207.0,08-2014
1220,206.4,09-2014
1221,203.4,10-2014
1222,200.9,11-2014
1223,197.0,12-2014
1224,192.0,01-2015
1225,191.1,02-2015
1226,191.5,03-2015
1227,190.9,04-2015
1228,193.4,05-2015
1229,194.8,06-2015
1230,193.9,07-2015
1231,191.9,08-2015
1232,189.1,09-2015
1233,187.5,10-2015
1234,185.7,11-2015
1235,183.5,12-2015
1236,182.6,01-2016
1237,181.3,02-2016
1238,182.1,03-2016
1239,183.2,04-2016
1240,185.3,05-2016
1241,187.6,06-2016
1242,187.7,07-2016
1243,186.6,08-2016
1244,186.9,09-2016
1245,186.7,10-2016
1246,186.3,11-2016
1247,188.2,12-2016
1248,190.7,01-2017
1249,191.6,02-2017
1250,191.5,03-2017
1251,193.0,04-2017
1252,192.8,05-2017
1253,193.6,06-2017
1254,193.5,07-2017
1255,193.8,08-2017
1256,194.8,09-2017
1257,194.9,10-2017
1258,195.9,11-2017
1259,196.3,12-2017
1260,197.9,01-2018
1261,199.3,02-2018
1262,199.3,03-2018
1263,200.3,04-2018
1264,203.2,05-2018
1265,204.2,06-2018
1266,204.3,07-2018
1267,203.4,08-2018
1268,203.6,09-2018
1269,204.6,10-2018
1270,202.3,11-2018
1271,201.0,12-2018
1272,199.1,01-2019
1273,199.2,02-2019
1274,200.8,03-2019
1275,202.1,04-2019
1276,201.7,05-2019
1277,200.3,06-2019
1278,200.7,07-2019
1279,199.2,08-2019
1280,198.4,09-2019
1281,198.6,10-2019
1282,199.0,11-2019
1283,199.0,12-2019
1284,199.3,01-2020
1285,196.7,02-2020
1286,193.1,03-2020
1287,185.5,04-2020
1288,188.6,05-2020
1289,191.2,06-2020
1290,193.0,07-2020
1291,194.3,08-2020
1292,195.5,09-2020
1293,196.5,10-2020
1294,198.3,11-2020
1295,200.5,12-2020
1296,204.8,01-2021
1297,210.6,02-2021
1298,215.0,03-2021
1299,217.9,04-2021
1300,224.9,05-2021
1301,228.9,06-2021
1302,231.85,07-2021
1303,233.415,08-2021
1304,235.678,09-2021
1305,240.465,10-2021
1306,243.287,11-2021
1307,241.338,12-2021
1308,246.453,01-2022
1309,252.66,02-2022
1310,260.014,03-2022
1311,265.31,04-2022
1312,273.251,05-2022
1313,280.251,06-2022
1314,272.274,07-2022
1315,269.546,08-2022
1316,267.898,09-2022
1317,265.026,10-2022
1318,263.238,11-2022
1319,257.876,12-2022
1320,259.904,01-2023
